id,date,tour,court,break,ref,time,home,away,h_coef,a_coef
xb3Yy3bS,24/06,"ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Wichita, KS (США)",хард,2,https://www.flashscore.ru.com/match/xb3Yy3bS/#/match-summary/match-summary,02:00TKP,Defalco J. (Сша),Ван Нгуйен Ш. (Сша),2.55,1.46
4WVtxDNk,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Ystad (Швеция),грунт,2,https://www.flashscore.ru.com/match/4WVtxDNk/#/match-summary/match-summary,11:15TKP,Сарасуа Р. (Мек),Самавати С. Н. (Дан),1.57,2.42
E1DXbzV2,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Ystad (Швеция),грунт,2,https://www.flashscore.ru.com/match/E1DXbzV2/#/match-summary/match-summary,11:15TKP,Хромачёва И. (Рос),Бартель М. (Гер),1.61,2.34
neLoyXxd,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Ystad (Швеция),грунт,2,https://www.flashscore.ru.com/match/neLoyXxd/#/match-summary/match-summary,12:45TKP,Бенуа М. (Бел),Фалковска В. (Пол),1.73,2.12
hhCybfp9,24/06,ITF ЖЕНЩИНЫ - ОДИНОЧНЫЙ РАЗРЯД. W25 Ystad (Швеция),грунт,2,https://www.flashscore.ru.com/match/hhCybfp9/#/match-summary/match-summary,12:45TKP,Лопатецкая Д. (Укр),Семенистая Д. (Лат),2.66,1.48
OzVQ4Vk9,24/06,ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M15 Chiang Rai 6 (Таиланд),хард,2,https://www.flashscore.ru.com/match/OzVQ4Vk9/#/match-summary/match-summary,08:00TKP,Редди Р./Сомани П.,Ишикава Т./Тадзима Н.,2.35,1.53
bgNw2TZR,24/06,ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M15 Chiang Rai 6 (Таиланд),хард,2,https://www.flashscore.ru.com/match/bgNw2TZR/#/match-summary/match-summary,08:00TKP,Сунь Ф./Юнчаокете Б.,Isaro P./Суксумрарн Т.,1.57,2.25
QeT1vO59,24/06,ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M15 Kamen (Германия),грунт,2,https://www.flashscore.ru.com/match/QeT1vO59/#/match-summary/match-summary,11:00,Баттальино С./Компануччи Т.,Эгеа Ф.-Э./Идальго Г.-А.,-,-
xziYBe5E,24/06,ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M15 Kamen (Германия),грунт,2,https://www.flashscore.ru.com/match/xziYBe5E/#/match-summary/match-summary,11:00,Геллер П./Пихлер Д.,Белобородько И./Ужиловский В.,-,-
IJiX53ap,24/06,ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M15 Monastir 24 (Тунис),хард,2,https://www.flashscore.ru.com/match/IJiX53ap/#/match-summary/match-summary,15:30TKP,Дон Ю./Ван Х.,Те Р./Чжан Цзэ,-,-
GQ9JRpM3,24/06,ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M15 Monastir 24 (Тунис),хард,2,https://www.flashscore.ru.com/match/GQ9JRpM3/#/match-summary/match-summary,15:30TKP,Хо Р./Ирадукунда Г.,Босио Г./Ноче Г. М.,-,-
ARizaen0,24/06,ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M15 Raanana 2 (Израиль),хард,2,https://www.flashscore.ru.com/match/ARizaen0/#/match-summary/match-summary,11:00TKP,Хуссей Г./Джонс Б.,Shyovitz E./Trakhtenberg G.,1.16,5.10
hjcVayXg,24/06,ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M15 Raanana 2 (Израиль),хард,2,https://www.flashscore.ru.com/match/hjcVayXg/#/match-summary/match-summary,12:30TKP,Catry R./Gray T.,Бодмер А./Кастельнуово Л.,3.36,1.31
lr4VtZwl,24/06,"ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M15 South Bend, IN (США)",хард,2,https://www.flashscore.ru.com/match/lr4VtZwl/#/match-summary/match-summary,00:00,Асаба А./Бангура С.,Anthrop J./Бернард А.,1.36,2.90
fue6e1OA,24/06,ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M25 Klosters (Швейцария),грунт,2,https://www.flashscore.ru.com/match/fue6e1OA/#/match-summary/match-summary,13:00TKP,Мартинес Л./Венгер Д.,Ноймайер Л./Вайс А.,-,-
Ak8JPHUk,24/06,ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M25 Klosters (Швейцария),грунт,2,https://www.flashscore.ru.com/match/Ak8JPHUk/#/match-summary/match-summary,13:00TKP,Штоддер Т./Ваншельбойм Э.,Бертола Р./Поль Я.,-,-
lhP6hMMq,24/06,ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M25 Montauban (Франция),грунт,2,https://www.flashscore.ru.com/match/lhP6hMMq/#/match-summary/match-summary,17:30TKP,Кабрера Белло И./Кузухара Б.,Бриан Дж./Майо Г.,-,-
xE1cFqUd,24/06,ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M25 Montauban (Франция),грунт,2,https://www.flashscore.ru.com/match/xE1cFqUd/#/match-summary/match-summary,18:00TKP,Гарсьян А./Мпеши-Перрикар Дж.,Бланше Ю./Реймонд А.,-,-
rR0SINij,24/06,"ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M25 Tulsa, OK (США)",хард,2,https://www.flashscore.ru.com/match/rR0SINij/#/match-summary/match-summary,01:00,Кассон М./Макнелли Дж.,Кларк Э./Поунвит Н.,2.19,1.60
zezLT4MK,24/06,"ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M25 Tulsa, OK (США)",хард,2,https://www.flashscore.ru.com/match/zezLT4MK/#/match-summary/match-summary,01:00,Майо Э./Майо К.,Шимабукуро Ш./Шимизу Ю.,3.10,1.32
lOiIuoa3,24/06,"ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M25 Tulsa, OK (США)",хард,2,https://www.flashscore.ru.com/match/lOiIuoa3/#/match-summary/match-summary,01:00,Сюй Юй/Суини Д.,Brumm J./Шихи Дж.,1.19,4.20
02BNJ3xp,24/06,"ITF МУЖЧИНЫ - ПАРНЫЙ РАЗРЯД. M25 Tulsa, OK (США)",хард,2,https://www.flashscore.ru.com/match/02BNJ3xp/#/match-summary/match-summary,01:00,Heck H./Свенссон Б.,Chidekh C./Мицуи Ш.,3.38,1.31
j5DiaIL8,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W15 Alkmaar (Нидерланды),грунт,2,https://www.flashscore.ru.com/match/j5DiaIL8/#/match-summary/match-summary,16:00TKP,Шолль К./Стивенс Л.,De Zeeuw J./Лемуан К.,-,-
CI46NkKe,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W15 Bucharest (Румыния),грунт,2,https://www.flashscore.ru.com/match/CI46NkKe/#/match-summary/match-summary,10:00TKP,Пинто Дж./Скьярчалупи Г.,Огеску С./Tsoneva M.,1.85,1.85
ALjGnsxm,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W15 Chiang Rai 4 (Таиланд),хард,2,https://www.flashscore.ru.com/match/ALjGnsxm/#/match-summary/match-summary,08:00TKP,Чанта А./Чипчандедж П.,Нагата А./Уэда Р.,1.85,1.85
MefKo1ig,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W15 Chiang Rai 4 (Таиланд),хард,2,https://www.flashscore.ru.com/match/MefKo1ig/#/match-summary/match-summary,09:30TKP,Исварамурти А./Ксун Ф. Й.,Джандакет Ч./Момкунтод Т.,1.61,2.18
GhALAhoC,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W15 Monastir 18 (Тунис),хард,2,https://www.flashscore.ru.com/match/GhALAhoC/#/match-summary/match-summary,15:30TKP,Палечек Н./Сафарова З.,Hosoki Y./Симидзу Э.,-,-
QyscUTtD,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W25 Cantanhede (Португалия),хард,2,https://www.flashscore.ru.com/match/QyscUTtD/#/match-summary/match-summary,15:30TKP,Ромпис Дж./Тьяндрамулия О.,Коклина Е./Шапатава С.,1.10,5.80
ddgpXVdf,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W25 Cantanhede (Португалия),хард,2,https://www.flashscore.ru.com/match/ddgpXVdf/#/match-summary/match-summary,16:00TKP,Аксу А./Суно Т.,Аюкава М./Парнаби А.,2.35,1.53
CSFFnBds,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W25 Cantanhede (Португалия),хард,2,https://www.flashscore.ru.com/match/CSFFnBds/#/match-summary/match-summary,16:00TKP,Льорка Л./Parres Azcoitia O.,Гамарра Мартинс И./Уэбли-Смит Э.,2.25,1.57
IFedpDR8,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W25 Gurugram (Индия),хард,2,https://www.flashscore.ru.com/match/IFedpDR8/#/match-summary/match-summary,09:30TKP,Айнитдинова Г./Десаи З.,Кобори М./Мацуда М.,3.40,1.28
Esk5ridL,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W25 Gurugram (Индия),хард,2,https://www.flashscore.ru.com/match/Esk5ridL/#/match-summary/match-summary,11:30TKP,Костулас С./Pridankina E.,Имамура С./Nugroho P. M.,2.09,1.66
AohIpJ6F,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W25 Klosters (Швейцария),грунт,2,https://www.flashscore.ru.com/match/AohIpJ6F/#/match-summary/match-summary,12:00TKP,Байерлова М./Евтимова Д.,Булгару М./Фрухвиртова Б.,-,-
rajQrcyS,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W25 Klosters (Швейцария),грунт,2,https://www.flashscore.ru.com/match/rajQrcyS/#/match-summary/match-summary,12:00TKP,Мордергер Т./Мордергер Я.,Cembranos P./Tothova E.,1.14,5.45
drSrWJiM,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W25 Perigueux (Франция),грунт,2,https://www.flashscore.ru.com/match/drSrWJiM/#/match-summary/match-summary,15:30TKP,Гамис А./Веддер Е.,Эпплтон Э./Осборн А.,-,-
dn8lERi4,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W25 Prokuplje (Сербия),грунт,2,https://www.flashscore.ru.com/match/dn8lERi4/#/match-summary/match-summary,15:00TKP,Гаврила О./Рошка А.,Ромеро-Гормаз Л./Вюрт Т.,-,-
ny11BPyN,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W25 Prokuplje (Сербия),грунт,2,https://www.flashscore.ru.com/match/ny11BPyN/#/match-summary/match-summary,15:00TKP,Куламбаева Ж./Тхомбаре П.,Гиороайе И.-Г./Морателли А.,1.57,2.37
QeT4xbta,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W25 Raanana 2 (Израиль),хард,2,https://www.flashscore.ru.com/match/QeT4xbta/#/match-summary/match-summary,12:30TKP,Кадар Е.-Т./Столлар Ф.,Глушко Л./Кимчи Ш.,1.83,1.83
AqVGZeQH,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W25 Raanana 2 (Израиль),хард,2,https://www.flashscore.ru.com/match/AqVGZeQH/#/match-summary/match-summary,12:30TKP,Лансере С./Тимофеева М.,Ли Ясуань/У Ф.,2.26,1.62
296cTg5Q,24/06,"ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W25 Wichita, KS (США)",хард,2,https://www.flashscore.ru.com/match/296cTg5Q/#/match-summary/match-summary,00:00TKP,Hamilton H./Hsu T-Y.,Zamarripa A./Zamarripa M.,-,-
AT6tcEaF,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W25 Ystad (Швеция),грунт,2,https://www.flashscore.ru.com/match/AT6tcEaF/#/match-summary/match-summary,14:30TKP,Лахей Э./Zaar L.,Авдеева Ю./Малыгина Е.,2.32,1.59
0bPkzih2,24/06,ITF ЖЕНЩИНЫ - ПАРНЫЙ РАЗРЯД. W25 Ystad (Швеция),грунт,2,https://www.flashscore.ru.com/match/0bPkzih2/#/match-summary/match-summary,14:30TKP,Матула М./Уреке А.,Хеннеман К. В./Кубка М.,2.85,1.41
rD1Moww6,24/06,EXHIBITION - МУЖЧИНЫ. Херлингем (Великобритания),трава,2,https://www.flashscore.ru.com/match/rD1Moww6/#/match-summary/match-summary,16:30,Надаль Р. (Исп),Оже-Альяссим Ф. (Кан),-,-
d60R0fVJ,24/06,КОМАНДЫ - МУЖЧИНЫ. Кубок Дэвиса Группа 3 (Мир),no_court,2,https://www.flashscore.ru.com/match/d60R0fVJ/#/match-summary/match-summary,11:00,Армения,Лихтенштейн,-,-
SY2Zuggf,24/06,КОМАНДЫ - МУЖЧИНЫ. Кубок Дэвиса Группа 3 (Мир),no_court,2,https://www.flashscore.ru.com/match/SY2Zuggf/#/match-summary/match-summary,11:00,Кипр,Грузия,-,-
dUrEijh6,24/06,КОМАНДЫ - МУЖЧИНЫ. Кубок Дэвиса Группа 3 (Мир),no_court,2,https://www.flashscore.ru.com/match/dUrEijh6/#/match-summary/match-summary,11:00,Северная Македония,Молдавия,-,-
zcaVaEpQ,24/06,КОМАНДЫ - МУЖЧИНЫ. Кубок Дэвиса Группа 3 (Мир),no_court,2,https://www.flashscore.ru.com/match/zcaVaEpQ/#/match-summary/match-summary,11:00,Черногория,Люксембург,-,-
vZZ8r7Wk,24/06,КОМАНДЫ - МУЖЧИНЫ. Кубок Дэвиса Группа 3 (Мир),no_court,2,https://www.flashscore.ru.com/match/vZZ8r7Wk/#/match-summary/match-summary,18:00,Венесуэла,Гватемала,-,-
4dPnf4V1,24/06,КОМАНДЫ - МУЖЧИНЫ. Кубок Дэвиса Группа 3 (Мир),no_court,2,https://www.flashscore.ru.com/match/4dPnf4V1/#/match-summary/match-summary,18:00,Коста-Рика,Багамские острова,-,-
zLJB2SNL,24/06,КОМАНДЫ - МУЖЧИНЫ. Кубок Дэвиса Группа 3 (Мир),no_court,2,https://www.flashscore.ru.com/match/zLJB2SNL/#/match-summary/match-summary,18:00,Парагвай,Ямайка,-,-
tbK7388F,24/06,КОМАНДЫ - МУЖЧИНЫ. Кубок Дэвиса Группа 3 (Мир),no_court,2,https://www.flashscore.ru.com/match/tbK7388F/#/match-summary/match-summary,18:00,Пуэрто-Рико,Панама,-,-
